name,category,qty,ratePerQty,description,tag
Single Bed – Box Storage,Furniture,Furniture,18,000,₹18
Single Bed – Upholstered,Furniture,Furniture,24,000,₹24
Queen Bed – Box Storage,Furniture,Furniture,28,000,₹28
Queen Bed – Upholstered,Furniture,Furniture,38,000,₹38
King Bed – Box Storage,Furniture,Furniture,35,000,₹35
King Bed – Upholstered,Furniture,Furniture,48,000,₹48
Bunk Bed,Furniture,Furniture,42,000,₹42
Drawer unit,Furniture,Furniture,10,000,₹10
Wardrobe – Hinged,Furniture,Furniture,1,450,₹1
Wardrobe – Sliding,Furniture,Furniture,1,750,₹1
Wardrobe – PU Finish,Furniture,Furniture,2,200,₹2
Wardrobe – Glass Shutter,Furniture,Furniture,2,500,₹2
Loft Storage,Furniture,Furniture,1,100,₹1
TV Unit – Basic,Furniture,Furniture,7,500,₹7
TV Unit – Storage,Furniture,Furniture,9,500,₹9
TV Unit – Wall Hung,Furniture,Furniture,12,000,₹12
TV Unit – PU Finish,Furniture,Furniture,16,000,₹16
TV Unit – Panel + Unit,Furniture,Furniture,22,000,₹22
Wall Panel – Laminate,Furniture,Finishes,850,₹850 / Sq.ft,MDF base
Wall Panel – PU Finish,Furniture,Finishes,1,600,₹1
Wall Panel – Deco Paint,Furniture,Finishes,1,100,₹1
MDF Grooved Panel,Furniture,Finishes,950,₹950 / Sq.ft,CNC grooves
Fluted Panel,Furniture,Finishes,1,450,₹1
PU Finish (Furniture),Furniture,Finishes,650,₹650 / Sq.ft,Spray paint
Main Safety Door,Furniture,Hardware,38,000,₹38
Wooden Flush Door,Furniture,Hardware,9,500,₹9
Veneer Door,Furniture,Hardware,14,000,₹14
Digital Door Lock,Furniture,Hardware,22,000,₹22
Door Lock – Standard,Furniture,Hardware,2,200,₹2
Shoe Rack – Basic,Furniture,Furniture,12,000,₹12
Shoe Rack – Seating,Furniture,Furniture,18,000,₹18
Shoe Rack – Full Height,Furniture,Furniture,22,000,₹22
Modular Switchboard,Furniture,Electrical,1,600,₹1
LED Panel Light,Finishes,Electrical,850,₹850 / Nos,Ceiling
Strip Light,Furniture,Electrical,120,₹120 / Rft,Cove
Ceiling Fan,Furniture,Electrical,4,000,₹4
